SUBJECTID,electrode,emotion,ACTOR,presentNumber,meanAmpNC,ECBQ_per
02,C3,FullAngry,7,2,-31.001,4.4
02,C4,FullAngry,7,2,-7.919,4.4
02,Cz,FullAngry,7,2,-3.893,4.4
02,C3,FullAngry,7,4,5.051,4.4
02,C4,FullAngry,7,4,-8.29,4.4
02,Cz,FullAngry,7,4,-20.853,4.4
02,C3,FullAngry,7,5,-0.418,4.4
02,C4,FullAngry,7,5,-34.6,4.4
02,Cz,FullAngry,7,5,-21.031,4.4
02,C3,FullAngry,7,10,-4.67,4.4
02,C4,FullAngry,7,10,-10.354,4.4
02,Cz,FullAngry,7,10,-7.506,4.4
02,C3,FullAngry,8,1,-29.362,4.4
02,C4,FullAngry,8,1,-19.136,4.4
02,Cz,FullAngry,8,1,1.242,4.4
02,C3,FullAngry,8,2,-16.33,4.4
02,C4,FullAngry,8,2,-12.65,4.4
02,Cz,FullAngry,8,2,-24.444,4.4
02,C3,FullAngry,8,3,8.123,4.4
02,C4,FullAngry,8,3,-28.135,4.4
02,Cz,FullAngry,8,3,-11.458,4.4
02,C3,FullAngry,8,4,-1.087,4.4
02,C4,FullAngry,8,4,-24.966,4.4
02,Cz,FullAngry,8,4,-18.506,4.4
02,C3,FullAngry,8,5,1.558,4.4
02,C4,FullAngry,8,5,-1.716,4.4
02,Cz,FullAngry,8,5,-5.879,4.4
02,C3,FullAngry,8,6,-33.047,4.4
02,C4,FullAngry,8,6,-1.168,4.4
02,Cz,FullAngry,8,6,-5.35,4.4
02,C3,FullAngry,8,7,-30.274,4.4
02,C4,FullAngry,8,7,-26.832,4.4
02,Cz,FullAngry,8,7,34.12,4.4
02,C3,FullAngry,8,8,5.222,4.4
02,C4,FullAngry,8,8,-7.199,4.4
02,Cz,FullAngry,8,8,20.515,4.4
02,C3,FullAngry,9,1,-31.071,4.4
02,C4,FullAngry,9,1,-31.473,4.4
02,Cz,FullAngry,9,1,-65.124,4.4
02,C3,FullAngry,9,2,29.159,4.4
02,C4,FullAngry,9,2,-6.941,4.4
02,Cz,FullAngry,9,2,12.783,4.4
02,C3,FullAngry,9,3,8.515,4.4
02,C4,FullAngry,9,3,-36.396,4.4
02,Cz,FullAngry,9,3,-8.638,4.4
02,C3,FullAngry,9,4,11.233,4.4
02,C4,FullAngry,9,4,3.134,4.4
02,Cz,FullAngry,9,4,2.986,4.4
02,C3,FullAngry,9,5,-29.917,4.4
02,C4,FullAngry,9,5,-26.049,4.4
02,Cz,FullAngry,9,5,-38.66,4.4
02,C3,FullAngry,9,6,-8.861,4.4
02,C4,FullAngry,9,6,-15.061,4.4
02,Cz,FullAngry,9,6,-15.775,4.4
02,C3,FullAngry,9,8,-36.53,4.4
02,C4,FullAngry,9,8,-42.124,4.4
02,Cz,FullAngry,9,8,-37.145,4.4
