       value	     chindex	     chlabel	        bini	  binlabel	ERPset
      -1.412	           1	        E104	         135	02_:_30405	
       7.567	           1	        E104	         136	02_:_30406	
      14.585	           1	        E104	         137	02_:_30407	
      16.940	           1	        E104	         138	02_:_30408	
       5.075	           1	        E104	         139	02_:_30409	
     -10.414	           1	        E104	         140	02_:_30410	
      12.628	           1	        E104	         141	02_:_30501	
      19.447	           1	        E104	         142	02_:_30502	
     -15.510	           1	        E104	         143	02_:_30503	
      16.262	           1	        E104	         144	02_:_30504	
       2.771	           1	        E104	         145	02_:_30505	
      55.063	           1	        E104	         146	02_:_30506	
      -1.388	           1	        E104	         147	02_:_30507	
      22.876	           1	        E104	         148	02_:_30508	
      16.333	           1	        E104	         149	02_:_30509	
      20.458	           1	        E104	         150	02_:_30510	
     -41.550	           1	        E104	         151	02_:_60101	
     -36.066	           1	        E104	         152	02_:_60102	
     -16.966	           1	        E104	         153	02_:_60103	
     -30.034	           1	        E104	         154	02_:_60104	
      -5.858	           1	        E104	         155	02_:_60105	
     -13.375	           1	        E104	         156	02_:_60106	
      -4.991	           1	        E104	         157	02_:_60107	
     -44.224	           1	        E104	         158	02_:_60108	
     -11.801	           1	        E104	         159	02_:_60109	
       5.852	           1	        E104	         160	02_:_60110	
     -41.598	           1	        E104	         161	02_:_60201	
     -30.669	           1	        E104	         162	02_:_60202	
     -41.004	           1	        E104	         163	02_:_60203	
     -23.387	           1	        E104	         164	02_:_60204	
      15.821	           1	        E104	         165	02_:_60205	
     -53.162	           1	        E104	         166	02_:_60206	
     -31.841	           1	        E104	         167	02_:_60207	
       3.576	           1	        E104	         168	02_:_60208	
     -28.036	           1	        E104	         169	02_:_60209	
     -12.668	           1	        E104	         170	02_:_60210	
       5.859	           1	        E104	         171	02_:_60301	
     -44.206	           1	        E104	         172	02_:_60302	
     -10.907	           1	        E104	         173	02_:_60303	
     -17.045	           1	        E104	         174	02_:_60304	
       0.811	           1	        E104	         175	02_:_60305	
       3.427	           1	        E104	         176	02_:_60306	
     -39.147	           1	        E104	         177	02_:_60307	
     -16.115	           1	        E104	         178	02_:_60308	
     -26.973	           1	        E104	         179	02_:_60309	
       2.154	           1	        E104	         180	02_:_60310	
      19.182	           1	        E104	         181	02_:_60401	
       8.106	           1	        E104	         182	02_:_60402	
      19.631	           1	        E104	         183	02_:_60403	
     -11.828	           1	        E104	         184	02_:_60404	
       3.314	           1	        E104	         185	02_:_60405	
      28.580	           1	        E104	         186	02_:_60406	
       8.467	           1	        E104	         187	02_:_60407	
       1.236	           1	        E104	         188	02_:_60408	
      12.356	           1	        E104	         189	02_:_60409	
      22.494	           1	        E104	         190	02_:_60410	
      -4.652	           1	        E104	         191	02_:_60501	
       4.347	           1	        E104	         192	02_:_60502	
      -3.079	           1	        E104	         193	02_:_60503	
      22.826	           1	        E104	         194	02_:_60504	
      -5.273	           1	        E104	         195	02_:_60505	
       9.908	           1	        E104	         196	02_:_60506	
      51.984	           1	        E104	         197	02_:_60507	
      26.248	           1	        E104	         198	02_:_60508	
      -1.807	           1	        E104	         199	02_:_60509	
